CARLETON--MISSISSIPPI MILLS,CORNELL,MACLAREN,DUFF
NEPEAN--CARLETON,DRANSFIELD,MACLEOD,DAGENAIS
OTTAWA CENTRE,NAQVI,DEKKER,NAIDOO
OTTAWA--ORLÉANS,MCNEELY,LISTER,MCKERCHER
OTTAWA SOUTH,MCGUINTY,MACDONALD,FARAH
OTTAWA--VANIER,MEILLEUR,SHERMAN,LALIBERTÉ-TIPPLE
OTTAWA WEST--NEPEAN,CHIARELLI,DENLEY,BYRNE
GLENGARRY--PRESCOTT--RUSSELL,CRACK,GOSSELIN,JEAN-LOUIS
KINGSTON AND THE ISLANDS,GERRETSEN,JAMES,HOLLAND
LANARK--FRONTENAC--LENNOX AND ADDINGTON,MACDONALD,HILLIER,PARKHILL
LEEDS--GRENVILLE,HEFFERNAN,CLARK,LUNDY
PRINCE EDWARD--HASTINGS,DOMBROWSKY,SMITH,HAYES
RENFREW--NIPISSING--PEMBROKE,O'LEARY,YAKABUSKI,DOUGHERTY
STORMONT--DUNDAS--SOUTH GLENGARRY,MACDONALD-MARK,MCDONELL,MACDONALD-ELAINE
BARRIE,WALSH,JACKSON,CLARK
BRUCE--GREY--OWEN SOUND,ECCLES,WALKER,JOHNSTONE
DUFFERIN--CALEDON,HOLLOWAY,JONES,GVENTER
DURHAM,SOMERVILLE,O'TOOLE,TERRY
HALIBURTON--KAWARTHA LAKES--BROCK,JOHNSON,SCOTT,ABEL
NEWMARKET--AURORA,BISANZ,KLEES,WARDLAW
NORTHUMBERLAND--QUINTE WEST,RINALDI,MILLIGAN,MEES
PETERBOROUGH,LEAL,WILSON,NICKLE
SIMCOE--GREY,KENWELL,WILSON,MATTHEWS
SIMCOE NORTH,LARSEN,DUNLOP,MIDDLETON
YORK--SIMCOE,RESZLER,MUNRO,TAY
AJAX--PICKERING,DICKSON,MCCARTHY,WISEMAN
MARKHAM--UNIONVILLE,CHAN,THAYAPARAN,CHOO
OAK RIDGES--MARKHAM,JACZEK,WASSEF,WHITFELD
OSHAWA,MENEZES,OUELLETTE,SHIELDS
PICKERING--SCARBOROUGH EAST,MACCHARLES,GAUDET,CARIÑO
RICHMOND HILL,MORIDI,GUPTA,DEVITA
THORNHILL,FARBER,SHURMAN,HACKELBERG
VAUGHAN,SORBARA,GENCO,DONOFRIO
WHITBY--OSHAWA,ROY,ELLIOTT,SADEM-THOMPSON
SCARBOROUGH--AGINCOURT,WONG,CHEN,CHOI
SCARBOROUGH CENTRE,DUGUID,WILLIAMS,MATHURIN
SCARBOROUGH--GUILDWOOD,BEST,ELLIS,URBAN
