Riding,Liberal,PC,NDP,Green
Carleton--Mississippi Mills,Rosalyn Stevens,Jack MacLaren,John Hansen,Andrew West
Nepean--Carleton,Jack Uppal,Lisa MacLeod,Ric Dagenais,Gordon Kubanek
Ottawa Centre,Yasir Naqvi,Rob Dekker,Jennifer McKenzie,Kevin O'Donnell
Ottawa--Orléans,Marie-France Lalonde,Andrew Lister,Prosper M'Bemba-Meka,Bob Bell
Ottawa South,John Fraser,Matt Young,Bronwyn Funiciello,Matt Lakatos-Hayward
Ottawa--Vanier,Madeleine Meilleur,Martin Forget,Hervé Ngamby,David Bagler
Ottawa West--Nepean,Bob Chiarelli,Randall Denley,Alex Cullen,Alex Hill
Glengarry--Prescott--Russell,Grant Crack,Roxane Villeneuve Robertson,Isabelle Sabourin,Raymond St. Martin
Kingston and the Islands,Sophie Kiwala,Mark Bain,Mary Rita Holland,Robert Kiley
Lanark--Frontenac--Lennox and Addington,Bill MacDonald,Randy Hillier,Dave Parkhill,Cam Mather
Leeds--Grenville,Christine Milks,Steve Clark,David Lundy,Steve Bowering
Prince Edward--Hastings,Georgina Thompson,Todd Smith,Merrill Stewart,Anita Payne
Renfrew--Nipissing--Pembroke,Rod Boileau,John Yakabuski,Brian Dougherty,Benjamin Wright
Stormont--Dundas--South Glengarry,John Earle,Jim McDonell,Elaine MacDonald,Sharron Norman
Barrie,Ann Hoggarth,Rod Jackson,David Bradbury,Bonnie North
Bruce--Grey--Owen Sound,Ellen Anderson,Bill Walker,Karen Gventer,Jenny Parsons
Dufferin--Caledon,Bobbie Daid,Sylvia Jones,Rehya Rebecca Yazbek,Karren Wallace
Durham,Granville Anderson,Mike Patrick,Derek Spence,Halyna Zalucky
Haliburton--Kawartha Lakes--Brock,Rick Johnson,Laurie Scott,Don Abel,Arsalan Ahmad
Newmarket--Aurora,Chris Ballard,Jane Twinney,Angus Duff,Andrew Roblin
Northumberland--Quinte West,Lou Rinaldi,Rob Milligan,Kira Mees,Gudrun Ludorf-Weaver
Peterborough,Jeff Leal,Scott Stewart,Sheila Wood,Gary Beamish
Simcoe--Grey,Lorne Kenney,Jim Wilson,David Matthews,Jesseca Dudun
Simcoe North,Fred Larsen,Garfield Dunlop,Doris Middleton,Peter Stubbins
York--Simcoe,Loralea Carruthers,Julia Munro,Laura Bowman,Peter Elgie
Ajax--Pickering,Joe Dickson,Todd McCarthy,Jermaine King,Adam Narraway
Markham--Unionville,Michael Chan,Shan Thayaparan,Nadine Kormos Hawkins,Myles O'Brien
Oak Ridges--Markham,Helena Jaczek,Farid Wassef,Miles Krauter,Emilia Melara
Oshawa,Esrick Quintyn,Jerry Ouellette,Jennifer French,Becky Smit
Pickering--Scarborough East,Tracy MacCharles,Kevin Gaudet,Eileen Higdon,Anthony Navarro
Richmond Hill,Reza Moridi,Vic Gupta,Adam DeVita,Rachael Lave
