AJAX--PICKERING,DICKSON,MCCARTHY,KING
ALGOMA--MANITOULIN,HUGHSON,TURNER,MANTHA
ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE,MCKEEKIN,SKELLY,JOHNSTONE
BARRIE,HOGGARTH,JACKSON,BRADBURY
BEACHES--EAST YORK,POTTS,JOHNSON,PRUE
BRAMALEA--GORE--MALTON,KULAR,JASWAL,SINGH
BRAMPTON--SPRINGDALE,MALHI,HUNDAL,DHILLON
BRAMPTON WEST,DHILLON,SANDHU,PANAICH
BRANT,LEVAC,GILLIES,FELSKY
BRUCE--GREY--OWEN SOUND,ANDERSON,WALKER,GVENTER
BURLINGTON,MCMAHON,MCKENNA,MOWBRAY
CAMBRIDGE,MCGARRY,LEONE,STEWART
CARLETON--MISSISSIPPI MILLS,STEVENS,MACLAREN,HANSEN
CHATHAM--KENT--ESSEX,JOHNSON,NICHOLLS,GELINAS
DAVENPORT,MARTINS,DANIEL,SCHEIN
DON VALLEY EAST,COTEAU,KENNEDY,SADIKALI
DON VALLEY WEST,WYNNE,PORTER,AHMED
DUFFERIN--CALEDON,DAID,JONES,YAZBEK
DURHAM,ANDERSON,PATRICK,SPENCE
EGLINTON--LAWRENCE,COLLE,MARTIN,GALLEZOT
ELGIN--MIDDLESEX--LONDON,LAVOIE,YUREK,CORNISH
ESSEX,MELOCHE,CECILE,NATYSHAK
ETOBICOKE CENTRE,BAKER,MARTINO,JONES
ETOBICOKE--LAKESHORE,MILCZYN,HOLYDAY,CHOO
ETOBICOKE NORTH,QAADRI,MILONE,BARRIFFE
GLENGARRY--PRESCOTT--RUSSELL,CRACK,VILLENEUVE ROBERTSON,SABOURIN
GUELPH,SANDALS,MACDONALD,GORDON
HALDIMAND--NORFOLK,ROBINSON,BARRETT,NICHOLS
HALIBURTON--KAWARTHA LAKES--BROCK,JOHNSON,SCOTT,ABEL
HALTON,NAIDOO-HARRIS,CHUDLEIGH,SPOHR
HAMILTON CENTRE,TIQUI-SHEBIB,VAIL,HORWATH
HAMILTON EAST--STONEY CREEK,LUKSIC,BROWN,MILLER
HAMILTON MOUNTAIN,MIRZA,MARSHALL,TAYLOR
HURON--BRUCE,SCHENK,THOMPSON,JOHNSTONE
KENORA--RAINY RIVER,LEEK,NICKLE,CAMPBELL
KINGSTON AND THE ISLANDS,KIWALA,BAIN,HOLLAND
KITCHENER CENTRE,VERNILE,WETTLAUFER,JOHNSTON
KITCHENER--CONESTOGA,WRIGHT,HARRIS,VILLENEUVE
KITCHENER--WATERLOO,BURTON,WEILER,FIFE
LAMBTON--KENT--MIDDLESEX,RADAN,MCNAUGHTON,HILL
LANARK--FRONTENAC--LENNOX AND ADDINGTON,MACDONALD,HILLIER,PARKHILL
LEEDS--GRENVILLE,MILKS,CLARK,LUNDY
LONDON--FANSHAWE,MARCELLIN,ROBSON,ARMSTRONG
LONDON NORTH CENTRE,MATTHEWS,BRANSCOMBE,BRYANT
LONDON WEST,STEINBURG,BENNETT,SATTLER
MARKHAM--UNIONVILLE,CHAN,THAYAPARAN,KORMOS HAWKINS
MISSISSAUGA--BRAMPTON SOUTH,MANGAT,GILL,TROAKE
MISSISSAUGA EAST--COOKSVILLE,DAMERLA,CHURCHIN,KARIM
MISSISSAUGA--ERINDALE,TAKHAR,WHITE,BILEK
MISSISSAUGA SOUTH,SOUSA,TRIANTAFILOPOULOS,ROSOLAK
MISSISSAUGA--STREETSVILLE,DELANEY,TANGRI,SIKKA
NEPEAN--CARLETON,UPPAL,MACLEOD,DAGENAIS
NEWMARKET--AURORA,BALLARD,TWINNEY,DUFF
NIAGARA FALLS,TUPMAN,MAVES,GATES
NIAGARA WEST--GLANBROOK,MOSSEY,HUDAK,MCCORMACK
NICKEL BELT,TREGONNING,BLAY,GÉLINAS
NIPISSING,WHITING,FEDELI,GIROUX
NORTHUMBERLAND--QUINTE WEST,RINALDI,MILLIGAN,MEES
OAK RIDGES--MARKHAM,JACZEK,WASSEF,KRAUTER
OAKVILLE,FLYNN,SCOTT,MARVILLE
OSHAWA,QUINTYN,OUELLETTE,FRENCH
